"Hrepro_l","Hveg_l","SLA_l","LDMC_l","LCC_l","LNC_l","LD13C_l","LD15N_l","Hrepro_c","Hveg_c","SLA_c","LDMC_c","LCC_c","LNC_c","LD13C_c","LD15N_c","Hrepro_Tmin","Hveg_Tmin","SLA_Tmin","LDMC_Tmin","LCC_Tmin","LNC_Tmin","LD13C_Tmin","LD15N_Tmin"
-0.822979696658507,-0.828671754505704,-0.503446904022081,0.454592856951426,0.374051778133711,-0.139433821348936,0.461966335440171,-0.244558908120992,-0.578209464526868,-0.76195240850307,-0.115813248710595,-0.0366215483967147,-0.259588638961352,-0.518112295394087,-0.0470934595757619,-0.779804500958852,0.800598652216356,0.878725529465997,0.489609275118565,-0.409954695312737,-0.218442002965047,0.323553799271619,-0.37800911021956,0.445588677658385
-0.80684024056751,-0.818554650331124,-0.52352603668534,0.477778560355251,0.374895560203398,-0.158274141691065,0.471457210574469,-0.245488406221969,-0.518842323832855,-0.713232490253638,-0.0757795606830186,-0.0786250206569893,-0.311250165906035,-0.53597702236796,-0.0943248339397443,-0.795257277461108,0.783039962734023,0.86496100381694,0.513718213724301,-0.43903059077401,-0.226428179387406,0.337341174095034,-0.392899887970839,0.437818649627627
-0.807770290276795,-0.831324535406576,-0.522934971994384,0.471710258253405,0.350833267711813,-0.188848743411176,0.459408662914709,-0.280068746663718,-0.553378481089981,-0.731045807214837,-0.0395149203199268,-0.118752974868821,-0.300797558908958,-0.487004006691162,-0.105369310939222,-0.779652324724328,0.791096547772865,0.870595890694871,0.504197100729324,-0.427781668335805,-0.225179544811179,0.329545300835701,-0.388000133691066,0.438828543552663
-0.812077224690793,-0.829404263231302,-0.517918145282935,0.467963242684167,0.360091601759343,-0.171924203558723,0.461692433439439,-0.266471441989927,-0.519388859019732,-0.71227443736751,-0.0681632248128657,-0.0868971224234083,-0.313412912311732,-0.530653049047893,-0.0990598767999559,-0.794242714955898,0.790674455476414,0.869792324335045,0.505545981988641,-0.429583878107863,-0.22684345249228,0.328799164944334,-0.389453375881107,0.436986208983238
-0.827313487122706,-0.834649671344358,-0.498289690407377,0.447197109104378,0.367455747534283,-0.142862987192976,0.456408042774664,-0.253544737824793,-0.575600063490653,-0.758342353348789,-0.104598856946637,-0.0488075392051425,-0.265377509046691,-0.513297903673179,-0.0554842748567399,-0.780013880806722,0.7988550619658,0.87843376217521,0.490174167878131,-0.410240443230716,-0.215833070066133,0.327358611143503,-0.376931542533689,0.448613796765427
-0.79752209155557,-0.823697125481721,-0.534798665487373,0.485934923397369,0.353172905113579,-0.19752813823594,0.465889640578563,-0.277566982438364,-0.563858986624032,-0.737395518472494,-0.0347375245625618,-0.124109474886733,-0.295261455263151,-0.475770278791957,-0.104538547841528,-0.775159417109142,0.779965822503067,0.869595049592087,0.505196227584651,-0.42619451417917,-0.205018398284774,0.355570000910429,-0.37813618501234,0.461633791757969
-0.806426520052712,-0.818218957985767,-0.524007065931383,0.478367525321947,0.375047047028062,-0.158553020000986,0.471747833548482,-0.245307146827007,-0.501118123390159,-0.693094980798309,-0.0365797311324307,-0.120362141047188,-0.334090658187629,-0.521652974974786,-0.125289604647012,-0.79462799528311,0.785644064772398,0.868634884215307,0.507596197998308,-0.43103659942302,-0.220235727012575,0.339038969054293,-0.386999408919576,0.444645111200483
-0.812077224690793,-0.829404263231302,-0.517918145282935,0.467963242684167,0.360091601759343,-0.171924203558723,0.461692433439439,-0.266471441989927,-0.519388859019732,-0.71227443736751,-0.0681632248128657,-0.0868971224234083,-0.313412912311732,-0.530653049047893,-0.0990598767999559,-0.794242714955898,0.790674455476414,0.869792324335045,0.505545981988641,-0.429583878107863,-0.22684345249228,0.328799164944334,-0.389453375881107,0.436986208983238
-0.801272655727199,-0.814472089319151,-0.529986538315149,0.4854971193427,0.37605448381592,-0.163150829048538,0.474930573037933,-0.244298332296062,-0.546041292613745,-0.735745779538045,-0.0933871917542656,-0.0603190928070936,-0.288467819338369,-0.528150806439075,-0.0734766688123577,-0.789017250646976,0.78291182399007,0.863565823337883,0.515920059018551,-0.442170144127437,-0.2304626568642,0.33447473314734,-0.395941905984054,0.433259307440577
-0.809506633498889,-0.829024172841911,-0.521020479905553,0.471000246365265,0.357695310504367,-0.178094691886187,0.461916549506314,-0.270179060711643,-0.536779942774502,-0.725698737985992,-0.073420294326831,-0.081738265277346,-0.301001749438599,-0.521994859574977,-0.0896999143675505,-0.7898443506112,0.790115101548381,0.872594084342163,0.500738623596827,-0.42259670761368,-0.216801716787527,0.336567816625744,-0.382172091128637,0.448206550257122
-0.81476292801527,-0.822442915565805,-0.513682743397307,0.466889284272237,0.37664904586398,-0.146236850828376,0.467867757874625,-0.241943210966531,-0.54581717735755,-0.733604606778347,-0.081809291041184,-0.0728934134348459,-0.292549806440062,-0.520978733795622,-0.0811079032387241,-0.78798636000202,0.794825394509138,0.873706395730859,0.498751876965074,-0.42114594714354,-0.222886104823219,0.32704071221316,-0.38438693893824,0.441143020456912
-0.832953763192997,-0.842729341901157,-0.49112612132938,0.436914343859522,0.357962831787091,-0.148015819267376,0.448509398800478,-0.266274680173603,-0.551238494041989,-0.729636810093576,-0.0399774796768763,-0.118205678943013,-0.302053167420496,-0.48890911041067,-0.105849326270993,-0.780450438990737,0.806957418997752,0.883049410965436,0.481279448658627,-0.400183500221544,-0.217146982246389,0.316926030967059,-0.37359443113517,0.44635409168434
-0.823235727859364,-0.825185801254021,-0.50229991873611,0.454874898526762,0.380773309270397,-0.129536553604599,0.464716452746284,-0.234441396844005,-0.584147802354,-0.758142698321921,-0.0696409756507886,-0.0869004574067835,-0.271312260627086,-0.484306529499077,-0.0750091886579654,-0.773222889111564,0.805783696712955,0.883250941931137,0.480932119727109,-0.399354164555817,-0.214096972395024,0.320379279875573,-0.371881395276676,0.449815793074036
