"l_c","l_Tmin","c_Tmin"
0.522949979180148,-0.963678550987165,-0.720173547587482
0.440911010712775,-0.966659627385973,-0.642124496974806
0.481245863160743,-0.977046049846589,-0.644236828538206
0.461061299080785,-0.973602882567856,-0.639793933894447
0.524702110756783,-0.965281835459656,-0.714155236664706
0.477675040713679,-0.968749728814197,-0.666637020794311
0.399502031339641,-0.964291846455474,-0.61395865052576
0.461061299080785,-0.973602882567856,-0.639793933894447
0.471493348151137,-0.968133182245377,-0.665412149957061
0.481368554480317,-0.971114399820755,-0.666417216225622
0.46709355131525,-0.964517148773649,-0.671666960879027
0.479966132281214,-0.970345165147525,-0.660750807069883
0.488465098737798,-0.958647388817499,-0.702723486967561
0.489896602936468,-0.963578517533162,-0.692005764713537
0.49143321706975,-0.968685442689609,-0.681342729256064
0.479966132281214,-0.970345165147525,-0.660750807069883
0.479258209805572,-0.969079323425724,-0.665203592901009
0.480511224368366,-0.973181707277708,-0.654521193040397
0.541245119935278,-0.977087178964512,-0.695714959614775
0.495803324962877,-0.966914356753846,-0.687592354876887
0.463106640089126,-0.969419613447573,-0.650705009317362
0.519644677021474,-0.961640380428599,-0.720641879343442
0.550312157646902,-0.960171973440377,-0.750760163513911
0.495803324962877,-0.966914356753846,-0.687592354876887
0.500452906846691,-0.966012810921704,-0.692394527399975
0.554843959563459,-0.950380849458787,-0.772236766764099
0.528191766813008,-0.966677762405755,-0.714148614509649
0.478720012910335,-0.965340225056933,-0.678990981038001
0.528361885848434,-0.966860485788705,-0.717671946659288
0.458495209427387,-0.966275475140465,-0.659020649960634
0.4400175932272,-0.970898202969951,-0.628929405210626
0.478720012910335,-0.965340225056933,-0.678990981038001
0.377134888669137,-0.979255774214576,-0.541666460074131
0.483080751656936,-0.95175146073286,-0.7152055545555
0.524073358545436,-0.96725502753536,-0.711086707440575
0.475079596590448,-0.969371344060403,-0.663007072154469
0.459440120559627,-0.968365545294367,-0.651841151099581
0.483485781477769,-0.96400051757595,-0.685360846556192
0.484829211113198,-0.970072779478456,-0.669343894194555
0.475079596590448,-0.969371344060403,-0.663007072154469
0.502138846130842,-0.966481951576006,-0.688197482283496
0.48964899164646,-0.964869777563055,-0.686970855477819
0.506098440456762,-0.964918993556456,-0.707093313687386
0.478853250144725,-0.956623721630913,-0.700177528301987
0.464582500787328,-0.976027555926747,-0.635011406878366
0.404541008866998,-0.961525573604568,-0.627621717402989
0.490138467457699,-0.968119273008809,-0.679525752900887
0.478853250144725,-0.956623721630913,-0.700177528301987
0.4332895957273,-0.972524841301423,-0.619659169122796
0.459496549641501,-0.954009251152914,-0.689083659281882
0.508708303291299,-0.968536146132304,-0.693490933452592
0.455912597115729,-0.964798028219998,-0.656745677850786
0.483614662666425,-0.97728257647108,-0.647311145665165
0.455034355209458,-0.966408750763144,-0.651609625425097
0.500456008634977,-0.968240827372123,-0.690880644741282
0.455912597115729,-0.964798028219998,-0.656745677850786
0.456228696013733,-0.96039154778133,-0.670585603335594
0.538318673884518,-0.965512054656055,-0.726599936242569
0.442655169832913,-0.984525547813734,-0.581583797365092
0.4790808576588,-0.967640940998112,-0.671053023379053
0.48482700528124,-0.966616719037556,-0.678643453666593
0.509379328171353,-0.957167795550383,-0.724681947435058
0.463466904823877,-0.970669214943693,-0.65176837782734
0.4790808576588,-0.967640940998112,-0.671053023379053
0.500986337649881,-0.973668646779978,-0.673911750804963
0.492834014262881,-0.9638431642081,-0.693788253896297
0.48514618822673,-0.970697869805484,-0.671979177398129
0.557819201831952,-0.965175915838261,-0.740844039403351
0.402949688926881,-0.969496868804155,-0.601849953519044
0.500032501481846,-0.966988858681375,-0.689790665799016
0.478154080513184,-0.970172534748117,-0.663636278093481
0.557819201831952,-0.965175915838261,-0.740844039403351
0.450047111338509,-0.965000068054704,-0.656568563775277
0.485524319709045,-0.972961806467793,-0.66139284657733
0.442805869716443,-0.97040695185068,-0.633845088388466
0.481180124276658,-0.962850749599513,-0.685908868559786
0.473654230448128,-0.962133837242054,-0.678900353575608
0.483151218473516,-0.962168699596615,-0.690829533453453
0.496702882278932,-0.968616283234643,-0.685734039936406
0.481180124276658,-0.962850749599513,-0.685908868559786
0.496897145898519,-0.964078914740384,-0.69534790138511
0.484131129630586,-0.96064936030471,-0.694777899135384
0.527510708886457,-0.959021218823011,-0.732979607493776
0.442338733530318,-0.974400677876881,-0.618621858000122
