"Tmin_phi1","l_phi1","c_phi1","Tmin_phi2","l_phi2","c_phi2","Tmin_a","l_a","c_a","Tmin_b","l_b","Lposterior","Llikelihood","Lprior"
-0.971779759494927,0.940817720984009,0.626722656824252,2.33919867256532,4.57625781026436,6.40230832750079,0.915562297809647,0.363496098436232,1.16009405392896,-2.23885628584752,-6.62491964089435,-3236.58071735351,-3231.82537273016,-4.75534462335033
-0.980335330450779,0.949133097390558,0.56475834161344,2.3153432564312,4.50786234158844,6.45342257771007,0.971536420805853,0.365779818993014,1.13046135315257,-2.36985781591704,-6.55462123699334,-3236.184549949,-3231.44110875802,-4.74344119097935
-0.977009095719677,0.958580914025715,0.548888464318714,2.31079568596885,4.61180062234913,6.37236000611899,0.897613286031905,0.313649193843147,1.09182519309081,-2.56370931183661,-6.31129259998191,-3236.88862565406,-3231.94407034485,-4.94455530920952
-0.977410357453151,0.95300652042384,0.558371848876359,2.29947798277201,4.5883022367598,6.44579476889299,0.927841610654863,0.33614300700465,1.05200046731413,-2.48352452341702,-6.39740383502301,-3235.10405328859,-3230.30043050961,-4.80362277898253
-0.972126217799656,0.941302269531735,0.61591515483152,2.35902680335798,4.61718175367178,6.39652826573395,0.879424770059276,0.324125266451674,1.13256267799503,-2.34093889348855,-6.52580579960331,-3233.80150097507,-3229.20879506142,-4.59270591364966
-0.97798040818846,0.962271649671099,0.549378997882524,2.47628215244595,4.55599024203735,6.35292923172296,0.991406223308042,0.385984192792165,1.1078018555357,-2.33670137369379,-6.73142560656984,-3238.62375444436,-3233.56635304805,-5.05740139631283
-0.978472063316605,0.94926195044795,0.521900492750608,2.35663358665547,4.50553150830946,6.44197996856095,0.97003667925281,0.3779764945393,1.09410908086669,-2.36142568372636,-6.66466275528492,-3235.53031727954,-3230.66142576352,-4.86889151601827
-0.977410357453151,0.95300652042384,0.558371848876359,2.29947798277201,4.5883022367598,6.44579476889299,0.927841610654863,0.33614300700465,1.05200046731413,-2.48352452341702,-6.39740383502301,-3235.10405328859,-3230.30043050961,-4.80362277898253
-0.980873813162905,0.951197155376346,0.592758907198934,2.28379195229161,4.4792885292007,6.43074961375223,0.860975037052052,0.328074854080475,1.08321790608629,-2.33573829278359,-6.42789990295944,-3238.42875677597,-3233.80461922744,-4.62413754853004
-0.976120779317478,0.955221696260349,0.571114207895079,2.37106222202858,4.58802800828345,6.42620316656201,1.0194122608555,0.380245021529971,1.13060528411373,-2.43569704816974,-6.55811574213437,-3237.13692871642,-3232.18138361125,-4.95554510516214
-0.975099737125819,0.944219504697488,0.582612673535024,2.32044521205347,4.53457233285128,6.42075238681909,0.967429994233785,0.378076274004303,1.12355499150713,-2.329729140738,-6.62102277495772,-3236.75329284784,-3231.94942714697,-4.80386570087248
-0.968459925634154,0.941835341660741,0.548324152819564,2.33544839584917,4.67493733886501,6.37584686119149,0.880290268298738,0.300587480094161,1.10893572868656,-2.55320955960043,-6.34087717369717,-3240.20750044548,-3235.28753309485,-4.91996735063042
-0.968469840973444,0.937231909672693,0.589325239076451,2.35575228928536,4.55349536405263,6.35299327707327,0.985223518272303,0.400978857228321,1.17876164742656,-2.21338648879328,-6.82783987687705,-3239.21979290944,-3233.77969040775,-5.44010250169435
-0.977057484505069,0.944175497119187,0.60795720858097,2.31684335841849,4.51285754732007,6.41107877596175,0.880861116184938,0.33772317761328,1.10577726126931,-2.30292030239495,-6.557185717133,-3235.28020353769,-3230.68250675015,-4.59769678754126
-0.979472579619959,0.957815177962436,0.588471327611552,2.418397015981,4.54431009741958,6.43112898090184,0.901938630410858,0.341359099201056,1.11927271384898,-2.34909578904299,-6.4878920878662,-3235.48896881555,-3230.91020175685,-4.57876705869642
-0.968459925634154,0.941835341660741,0.548324152819564,2.33544839584917,4.67493733886501,6.37584686119149,0.880290268298738,0.300587480094161,1.10893572868656,-2.55320955960043,-6.34087717369717,-3240.20750044548,-3235.28753309485,-4.91996735063042
-0.973040120820103,0.94727917754539,0.559836503626148,2.36786892824275,4.63393900440138,6.39827563157231,0.947054866367862,0.372264275652142,1.04035163752359,-2.3365446364044,-6.70698789222173,-3238.7340492396,-3233.76175540258,-4.9722938370112
-0.975518507409858,0.953602777905551,0.553587921942943,2.34155311452318,4.61771093066052,6.37866911564622,0.972993429898669,0.362975854173148,1.06446636249483,-2.41973335913992,-6.55961689880599,-3235.6744323619,-3230.86066081689,-4.81377154501198
-0.968697368961665,0.950929505558106,0.585219218424133,2.41099184344225,4.79733023792888,6.42897579762474,0.83113083473511,0.269865653246549,1.05905095635267,-2.6335128204597,-6.15091623174996,-3242.26308160729,-3236.47285428346,-5.79022732382603
-0.973131032216059,0.945004981463404,0.590354556249453,2.27552732900564,4.5254571236436,6.3336632946648,0.938107516059144,0.358296499931162,1.17310725864169,-2.33113538967873,-6.60692885890696,-3240.30452776492,-3235.57494259932,-4.72958516560776
-0.971222254699053,0.946606081337851,0.539263968570612,2.27215472492494,4.55300463283565,6.29915181307432,0.868622845978784,0.326139222247944,1.09558190971659,-2.42924203110422,-6.47730094564101,-3242.8645676075,-3238.25976350977,-4.60480409773451
-0.977163586641989,0.93798709642381,0.647520352498317,2.30102679474055,4.53026507453755,6.43953866271667,0.939551735938978,0.3848087734011,1.16386761508992,-2.14736964548388,-6.71090017491654,-3236.92696547054,-3231.83527266291,-5.09169280763105
-0.973502549319444,0.952633597136464,0.636312028868055,2.5235269828906,4.58515492750306,6.39635974517838,0.925073462179722,0.373228906974344,1.17041175692787,-2.1417191946421,-6.76896399545861,-3240.32662876334,-3235.15447393219,-5.1721548311554
-0.973131032216059,0.945004981463404,0.590354556249453,2.27552732900564,4.5254571236436,6.3336632946648,0.938107516059144,0.358296499931162,1.17310725864169,-2.33113538967873,-6.60692885890696,-3240.30452776492,-3235.57494259932,-4.72958516560776
-0.975627013081818,0.95420021962834,0.579382890469142,2.46053111775413,4.59488876892395,6.38224658442961,0.960350101990172,0.38168488086791,1.17488350424605,-2.26513849313688,-6.66454900093986,-3237.46089497638,-3232.53763752804,-4.92325744834816
-0.972632678781635,0.932616337324495,0.673783459446633,2.41814950740728,4.53143359972215,6.38162661233838,0.959789897667744,0.420623052905955,1.14793728495484,-2.049196081079,-7.04106933284975,-3243.03611335713,-3236.56449409821,-6.47161925892539
-0.971165086040741,0.943151204625355,0.611959810880796,2.32295726217354,4.58841241579266,6.34663263300258,0.858830070553982,0.320749476265647,1.17925056496174,-2.31581568699093,-6.49544867650346,-3236.66863967275,-3232.01584020889,-4.65279946386366
-0.979344279569077,0.953995079741673,0.586093276051914,2.38892601545069,4.49744708755541,6.40560900946885,0.926245786283662,0.350232775746394,1.15849678012587,-2.34294501124525,-6.58470084281407,-3236.23058774748,-3231.56749498906,-4.66309275842338
-0.977128836611656,0.958075889509816,0.615019700586037,2.5008272456247,4.59965359615081,6.44326945250639,0.936189073321527,0.346007118975895,1.17497122605056,-2.37210577068735,-6.50865530496285,-3235.97205405182,-3231.29826995109,-4.67378410072441
