"FPR","TPR","Model"
1,1,"jSDM-LVM"
0.999188311688312,1,"jSDM-LVM"
0.998376623376623,1,"jSDM-LVM"
0.998376623376623,0.998780487804878,"jSDM-LVM"
0.997564935064935,0.998780487804878,"jSDM-LVM"
0.996753246753247,0.998780487804878,"jSDM-LVM"
0.995941558441558,0.998780487804878,"jSDM-LVM"
0.99512987012987,0.998780487804878,"jSDM-LVM"
0.994318181818182,0.998780487804878,"jSDM-LVM"
0.993506493506494,0.998780487804878,"jSDM-LVM"
0.992694805194805,0.998780487804878,"jSDM-LVM"
0.991883116883117,0.998780487804878,"jSDM-LVM"
0.991071428571429,0.998780487804878,"jSDM-LVM"
0.99025974025974,0.998780487804878,"jSDM-LVM"
0.989448051948052,0.998780487804878,"jSDM-LVM"
0.988636363636364,0.998780487804878,"jSDM-LVM"
0.987824675324675,0.998780487804878,"jSDM-LVM"
0.987012987012987,0.998780487804878,"jSDM-LVM"
0.986201298701299,0.998780487804878,"jSDM-LVM"
0.98538961038961,0.998780487804878,"jSDM-LVM"
0.984577922077922,0.998780487804878,"jSDM-LVM"
0.984577922077922,0.997560975609756,"jSDM-LVM"
0.983766233766234,0.997560975609756,"jSDM-LVM"
0.982954545454545,0.997560975609756,"jSDM-LVM"
0.982142857142857,0.997560975609756,"jSDM-LVM"
0.982142857142857,0.996341463414634,"jSDM-LVM"
0.981331168831169,0.996341463414634,"jSDM-LVM"
0.980519480519481,0.996341463414634,"jSDM-LVM"
0.979707792207792,0.996341463414634,"jSDM-LVM"
0.978896103896104,0.996341463414634,"jSDM-LVM"
0.978084415584416,0.996341463414634,"jSDM-LVM"
0.977272727272727,0.996341463414634,"jSDM-LVM"
0.977272727272727,0.995121951219512,"jSDM-LVM"
0.976461038961039,0.995121951219512,"jSDM-LVM"
0.975649350649351,0.995121951219512,"jSDM-LVM"
0.974837662337662,0.995121951219512,"jSDM-LVM"
0.974025974025974,0.995121951219512,"jSDM-LVM"
0.973214285714286,0.995121951219512,"jSDM-LVM"
0.973214285714286,0.99390243902439,"jSDM-LVM"
0.972402597402597,0.99390243902439,"jSDM-LVM"
0.971590909090909,0.99390243902439,"jSDM-LVM"
0.970779220779221,0.99390243902439,"jSDM-LVM"
0.969967532467532,0.99390243902439,"jSDM-LVM"
0.969155844155844,0.99390243902439,"jSDM-LVM"
0.968344155844156,0.99390243902439,"jSDM-LVM"
0.967532467532468,0.99390243902439,"jSDM-LVM"
0.966720779220779,0.99390243902439,"jSDM-LVM"
0.965909090909091,0.99390243902439,"jSDM-LVM"
0.965097402597403,0.99390243902439,"jSDM-LVM"
0.964285714285714,0.99390243902439,"jSDM-LVM"
0.963474025974026,0.99390243902439,"jSDM-LVM"
0.962662337662338,0.99390243902439,"jSDM-LVM"
