"Trait","Axis1","Axis2","Axis3","Axis4"
"Hrepro","-0.670724430878892","-0.2769787272565","0.609599163661886","0.0362585728477863"
"Hveg","-0.777241524145589","-0.396444528688019","0.344464172159198","-0.0366759868408111"
"SLA","-0.619803296079121","0.387111781934228","-0.290311091030826","0.0349707797505456"
"LDMC","0.568931052293213","-0.545876810727969","0.31501440620449","0.112074649024005"
"LCC","0.243981114712059","-0.489651242268205","-0.363302691008186","0.699379638536651"
"LNC","-0.417229549968722","-0.245481577560989","-0.72015657579","-0.221937526355242"
"LD13C","0.448343107701218","-0.416544587867754","-0.0625370518638454","-0.729309381861776"
"LD15N","-0.408042361985196","-0.638140264049471","-0.327549592180345","-0.0428195344043251"
"Explained variance","2.36293171022886","1.5624744381418","1.43559526907117","1.08855732590847"
